reviewer_score,id
8.28,488440
7.9009999999999945,274649
8.153999999999993,374688
9.697000000000005,404352
9.598083333333333,451596
9.103999999999996,302161
8.283000000000001,317079
7.693,13963
8.928966666666668,159785
8.094999999999995,195089
8.099000000000004,477589
9.006666666666666,456271
9.077,306957
7.894999999999998,297671
8.909999999999998,484684
9.840914285714291,393417
6.254000000000001,26857
9.534666666666663,143179
5.659000000000001,252030
9.364100000000002,412476
8.575999999999999,487471
9.451,297338
8.225999999999997,155485
9.643928571428576,139350
9.583000000000002,208575
7.931999999999997,137832
8.816300000000004,443337
9.043999999999999,44836
7.708999999999998,173140
6.0909999999999975,271298
8.853333333333326,282731
9.784000000000002,384147
9.209000000000001,218440
8.363000000000001,74628
7.988266666666666,165488
8.449999999999996,500250
7.320999999999994,381342
9.359008333333337,237106
9.695000000000004,445571
7.813,192798
8.782000000000002,448671
9.001000000000001,389848
9.611000000000006,329826
5.61,69182
9.502068831168831,217075
9.867000000000003,449013
6.109000000000001,389549
9.271000000000004,92878
9.066499999999996,499600
9.888666666666667,502085
7.663000000000004,327860
8.184000000000001,126833
6.961999999999998,182756
6.076000000000001,227128
7.234999999999998,84023
8.588000000000001,164152
8.010999999999997,56331
9.120999999999999,143658
8.009999999999998,172779
6.477333333333335,345883
8.992000000000008,55704
8.32645714285714,369659
8.792000000000002,353206
9.132333333333339,331492
8.303807142857144,184180
9.185999999999996,297611
5.639000000000003,206684
9.565200000000006,59374
6.3705,79519
9.48730000000001,20433
9.224171428571434,247070
8.711000000000006,268739
9.164,407280
9.543516666666669,40338
9.491000000000005,386764
7.60571666666667,136283
9.299000000000003,399577
9.634000000000007,293596
8.0888,238963
4.329000000000001,376148
9.410380952380953,292946
6.413329473304475,68726
9.026250000000003,236810
9.264999999999999,483917
9.506350000000007,288399
8.834499999999997,135209
7.1960000000000015,227160
8.515999999999998,165503
8.267999999999995,282419
8.871999999999996,337832
8.070649999999999,100085
8.538999999999994,80546
9.26716666666667,7068
8.140999999999998,18307
8.343,143484
8.585399999999996,431293
6.935299999999997,195313
9.628000000000013,386336
8.219,278451
9.518833333333331,515171
6.3725,503022
9.015071428571428,226269
8.820249999999998,174839
7.870999999999997,306061
8.676999999999998,316140
9.057200000000003,448684
9.163000000000004,12797
9.455500000000002,48490
8.434333333333326,492735
8.161999999999999,174491
7.942999999999997,118316
9.746000000000004,86147
9.296249999999999,203992
9.071000000000003,7199
9.46,310339
5.8566666666666665,295699
9.418000000000008,15444
8.442499999999997,46325
9.172148412698412,335935
6.748499999999999,231499
4.851999999999997,202351
5.241999999999999,301383
8.071,399578
9.495750000000003,218539
9.220000000000006,469684
9.015000000000004,194086
6.966,241140
8.3812,489456
7.608000000000001,40339
7.201000000000004,106564
8.442,407340
9.032999999999998,57963
9.477000000000007,438739
6.550666666666663,166802
9.215999999999998,140977
7.7849999999999975,27924
9.52057132034632,27038
9.112258333333333,255975
6.703999999999999,282554
5.297316666666667,215581
8.766,330042
4.865000000000002,204952
5.966842857142857,406510
9.051000000000002,346771
9.82546666666667,148090
8.905000000000006,457898
7.86,285354
9.758750000000003,397759
8.624,32932
8.982,60766
7.841999999999997,271800
8.081000000000003,371793
8.270999999999995,371452
7.008000000000001,411526
8.770000000000003,141103
7.645499999999998,110891
9.391583333333335,402758
8.585999999999995,17868
7.067666666666663,343591
7.333999999999999,471490
8.503,256700
6.056000000000003,505450
8.334,450543
7.504894444444445,480364
9.220333333333336,486347
8.330000000000002,431782
7.478,467246
5.301,139938
8.759,412939
7.451999999999999,48138
8.409666666666663,296837
9.218900000000001,263732
5.626999999999996,467070
9.834000000000001,356197
8.849333333333332,68793
9.484800000000005,278265
8.690833333333337,436884
9.587000000000003,291079
7.3450999999999995,306791
8.366000000000001,33799
9.052000000000001,54593
7.608333333333335,415518
8.300999999999998,468997
8.834633333333334,453145
9.422090476190482,457129
9.070000000000007,505516
8.330999999999996,124728
7.297999999999998,201846
7.783000000000002,87022
7.644999999999994,365351
8.997,30873
9.743000000000006,310261
9.137666666666666,329375
7.7064999999999975,255682
7.425999999999997,297506
9.001149999999999,227566
5.561999999999999,424859
9.531400000000001,109203
8.0485,473448
7.1916666666666655,92030
8.903000000000002,168447
9.20116666666667,273885
7.335666666666668,206882
9.287564285714284,496828
8.799,428705
8.891500000000002,277018
8.070833333333331,350174
7.7058,47916
9.562999999999999,141600
9.475000000000009,15562
8.849000000000002,485148
7.081999999999997,493569
9.566700000000004,265625
8.766,423310
5.969499999999998,149334
7.968666666666666,263270
8.271999999999998,324461
9.408000000000003,370959
9.514000000000005,403949
8.069999999999999,34219
9.665,432402
9.04058333333333,134096
8.702,146868
9.331166666666668,488348
9.13475,51863
7.107733333333331,126137
8.937999999999997,289411
8.638000000000003,264135
8.891544444444445,379597
9.020180952380953,332
8.192499999999997,210781
7.575333333333333,306309
6.926666666666666,213660
8.661999999999995,104641
8.862799999999998,505966
7.722,221006
5.973000000000001,504336
9.533166666666672,493849
6.887,364693
7.552999999999996,18305
7.902375000000002,455520
8.451,133751
8.361999999999997,318914
8.681916666666673,74887
8.427999999999999,501359
5.722777777777773,202807
7.5440000000000005,213229
8.245999999999997,473930
8.489999999999991,128547
6.212999999999998,411844
6.557,144377
5.892000000000003,103762
9.07300000000001,320283
8.820285714285717,263106
8.383000000000004,149193
6.409999999999997,395344
7.899000000000002,404926
8.937000000000001,111506
7.358999999999998,82192
7.797,209705
9.37333333333334,14784
7.382166666666669,479784
7.048166666666665,25339
8.065999999999997,437361
9.356000000000005,221845
7.3909999999999965,297817
6.240399999999999,68601
9.429733333333335,434482
7.719999999999996,454022
8.632333333333332,364050
8.865000000000002,1090
8.07175,211779
7.134999999999995,221162
8.48616666666667,460411
9.057,498842
8.793833333333332,435329
8.235000000000007,230549
8.723085714285716,38979
8.714499999999994,271391
8.116999999999997,253766
8.499,229383
8.684199999999999,492639
8.678000000000003,494422
6.404,186672
7.840999999999997,121827
7.371999999999999,193807
9.661000000000001,410836
8.271,44798
9.257000000000001,353576
8.213999999999997,294808
8.668750000000001,462078
8.982683333333334,29385
6.853000000000001,305448
7.3910000000000045,500343
7.856999999999999,291972
9.225000000000005,459260
7.4879999999999995,375128
8.4385,255330
9.074000000000005,54415
6.642249999999997,80273
8.862833333333334,194710
9.421333333333335,171197
7.527000000000002,361044
8.129,427546
9.369883333333343,193017
8.542000000000005,301811
6.042727336552339,66917
9.346333333333337,161762
8.955000000000004,260268
9.207,20818
8.587833333333336,249238
8.400999999999998,163391
8.491107142857143,238731
8.972999999999994,358573
8.71,296018
7.765466666666665,114269
9.774000000000004,21967
8.499,160483
8.299999999999997,297833
8.776000000000003,387186
9.19,151262
8.585,409942
9.565533333333338,14960
8.086400000000001,514706
8.991000000000005,490958
9.485733333333334,140482
9.051864285714288,512308
7.034999999999999,88428
4.985000000000001,125671
7.49,329436
8.478000000000002,99323
9.096800000000002,186431
8.087,515714
7.069899999999994,499368
8.510350000000006,173301
7.9935,143158
8.671,311617
8.006999999999998,47816
8.386999999999997,467532
9.569033333333337,182012
6.069000000000001,425740
6.778499999999999,131033
7.605999999999998,476358
6.980999999999997,260443
9.609000000000007,388438
9.338999999999999,12463
8.367,466682
8.975933333333336,457042
8.194999999999995,35046
8.847333333333335,130759
9.650790476190483,20932
9.486283333333333,415626
8.526999999999994,368514
9.214900000000005,205643
8.915333333333336,171061
7.445000000000001,316066
8.24336666666667,150686
8.841719047619046,320175
8.574000000000002,426531
9.144333333333336,404452
8.047233333333336,174770
7.850000000000003,393901
8.46633333333333,187495
9.389,450690
9.536488888888895,198736
9.601714285714289,472828
8.135250000000005,455702
9.337250000000004,216661
9.160400000000003,173010
7.241199999999996,301546
7.062999999999996,166810
9.459897619047622,314488
